"fgene","P1","P2","P3","P4","I1","I2","I3","I4"
"AAA19800.1|CBM34|GH13_39|3.2.1.1|3.2.1.41",0,0,0,0,1,0,0,0
"AAA19800.2|CBM34|GH13_39",0,0,0,0,0,0,1,0
"AAA20560.1|GH15|3.2.1.3",0,0,0,0,0,1,0,0
"AAA21932.1|GH33|3.2.1.18",1,1,0,2,1,1,0,0
"AAA22308.1|CBM20|GH13_2|2.4.1.19",0,0,0,0,0,0,1,0
"AAA23086.1|CBM2|CBM3|GH9|3.2.1.4",0,3,1,0,0,0,0,1
"AAA23089.1|CBM2|GH5_1|3.2.1.4",0,0,0,0,0,1,0,1
"AAA23091.1|GH1|3.2.1.21",0,0,0,0,0,0,1,0
"AAA24776.1|CBM50|GH73|3.2.1.17|3.2.1.96",0,1,0,0,0,0,0,0
"AAA30255.1|GH33",0,0,1,0,0,0,3,0
"AAA34256.1|CBM18",0,0,0,0,0,0,1,0
"AAA51377.1|CBM18|GH19|3.2.1.14",0,0,0,0,0,0,1,0
"AAA71887.1|CBM3|GH44|GH5_8|3.2.1.4|3.2.1.78",0,1,0,0,0,0,0,0
"AAA83223.1|CBM12|CBM5|GH18|3.2.1.14",0,4,0,1,2,1,0,2
"AAA90913.1|GH10|3.2.1.8",0,0,0,0,0,1,0,0
"AAA91086.1|CBM3|GH48|GH9|3.2.1.4",0,1,1,0,0,0,1,0
"AAB00822.1|CBM2|GH48|3.2.1.176",0,2,0,1,1,0,2,1
"AAB05218.1|GT7|2.4.1.38",0,1,0,0,0,0,1,0
"AAB48020.1|AA3_2",2,2,0,0,1,0,0,1
"AAB52722.1|CBM55|GH18|3.2.1.14",0,0,0,0,1,0,0,0
"AAB63465.1|GT41|2.4.1.255",0,1,0,2,0,0,1,1
"AAB70917.1|CBM12|GH18|3.2.1.14",0,0,0,0,0,0,1,0
"AAB90655.1|GT2",0,1,0,0,0,0,1,0
"AAB95326.1|CBM22|CBM3|CBM6|GH10|GH43_16|3.2.1.8",1,0,0,0,1,1,0,1
"AAC06926.1|GT0",1,0,0,0,0,0,0,0
"AAC07235.1|GT83",0,0,0,0,1,0,1,0
"AAC07593.1|GT2",0,0,0,0,0,2,1,1
"AAC12819.1|AA7",0,1,1,0,0,0,2,1
"AAC13727.1|CBM50",0,1,0,0,0,0,0,0
"AAC32197.1|AA3_1|AA8",1,0,0,0,1,0,1,0
"AAC36898.1|CBM2|GH6|3.2.1.91",1,1,0,0,1,0,1,0
"AAC39358.1|AA7",0,0,0,0,1,0,0,0
"AAC41686.1|AA1_1|1.10.3.2",0,1,0,0,0,0,0,0
"AAC47556.1|CBM14",3,6,4,4,7,4,4,3
"AAC47557.1|CBM14",9,17,17,13,16,11,16,9
"AAC49277.1|AA3_1|AA8",0,1,0,1,1,0,0,0
"AAC49446.1|GT41",0,0,0,0,1,0,0,0
"AAC53121.1|GT41|2.4.1.255",1,0,0,0,0,0,0,0
"AAC61839.1|AA7",1,0,1,0,0,0,0,0
"AAC70277.1|CBM14",0,0,1,2,1,0,0,0
"AAC79667.1|CBM5|GH18|3.2.1.14",0,0,1,0,0,0,0,0
"AAC98688.2|GH33",4,12,4,6,9,5,15,12
"AAD14758.1|GT2",2,0,0,0,2,0,3,2
"AAD20147.1|CE8",0,1,0,0,1,1,2,1
"AAD26336.1|CBM20",0,0,0,0,1,0,0,0
"AAD30363.1|CBM22|CBM3|CBM6|GH10|GH43_16|3.2.1.55|3.2.1.8",0,1,1,0,1,2,0,1
"AAD34550.1|CE3",0,1,0,1,2,0,1,1
"AAD35127.1|CE0",1,2,2,0,2,2,3,0
"AAD35838.1|GT2|GT4",0,0,0,0,0,0,0,1
"AAD52672.1|CBM14|GH18",0,2,0,0,0,0,0,0
"AAE63612.1|CBM2|GH6",0,0,0,0,1,0,1,0
"AAF04861.1|GT48",0,0,0,0,1,0,0,0
"AAF06064.1|CBM3|GH9",0,0,0,0,0,0,1,1
"AAF14365.1|CBM1|GH11|3.2.1.8",1,1,1,1,0,1,2,2
"AAF16649.1|CE8",0,0,0,1,0,0,1,0
"AAF17665.1|CBM45",0,1,0,0,0,0,0,0
"AAF21468.1|CBM12|CBM5|GH18|3.2.1.14",0,4,1,1,2,0,2,1
"AAF22274.1|AA10|CBM3|GH5_8|3.2.1.78",0,0,0,0,1,0,0,1
"AAF24999.1|GH32|3.2.1.7",0,0,0,0,0,0,0,1
"AAF26789.1|GT41|2.4.1.255",1,1,2,1,4,3,4,2
"AAF26838.1|CBM6|GH96|3.2.1.158",0,1,0,0,0,0,1,0
"AAF40140.1|CBM43|GH72|2.4.1.-",0,0,0,0,0,0,1,0
"AAF45644.1|CBM14",0,0,3,1,0,0,2,1
"AAF50480.2|CBM14",0,1,0,0,0,0,0,0
"AAF50522.3|GH22",0,0,0,0,1,0,0,0
"AAF50778.3|CBM14",0,1,0,0,0,0,0,0
"AAF51432.1|GT105",1,0,1,0,2,1,0,0
"AAF52351.2|CBM14",0,0,1,1,0,1,0,0
"AAF55179.1|GT105",1,0,0,1,2,1,2,0
"AAF55402.1|CBM14",4,12,8,4,7,9,12,8
"AAF61649.1|CBM22|CBM3|GH10|3.2.1.8",2,0,0,0,0,1,1,0
"AAF74782.1|CBM12|GH18|3.2.1.14",0,0,0,0,1,0,0,0
"AAF79504.1|GH36",0,1,0,1,0,0,0,1
"AAF79585.1|GH28",7,15,9,11,20,15,28,18
"AAF80600.1|GH55|3.2.1.58",0,0,0,0,0,0,0,1
"AAF82611.1|GH13_32",1,0,0,0,0,0,0,0
"AAF83628.1|CBM2|GH5_1|3.2.1.4",1,15,10,6,5,6,16,7
"AAF84076.1|CBM2|GH6",1,2,0,0,2,1,1,1
"AAG02362.1|GT0",0,1,0,0,0,0,0,0
"AAG18896.1|GT2",0,1,0,0,0,0,1,0
"AAG59609.1|PL9_1|4.2.2.2",0,0,1,0,1,1,1,1
"AAG60613.1|GH47",1,1,0,2,1,1,1,1
"AAH14434.1|GT41|2.4.1.255",0,0,0,0,0,0,1,0
"AAH72826.1|GH47",0,0,0,1,1,0,0,0
"AAH82353.1|GT41",1,0,0,1,0,1,2,1
"AAH93594.1|GT90",0,0,0,1,0,0,0,0
"AAH93852.1|GT105|2.4.1.109",0,0,0,1,0,0,0,0
"AAI25762.1|CBM13",0,1,1,0,0,0,1,1
"AAI40543.1|GT41",0,1,0,0,0,0,0,0
"AAI49808.1|CBM13",0,3,2,1,0,2,1,1
"AAI63923.1|GT41",3,6,1,1,4,5,0,4
"AAI66274.1|GT105",0,0,0,0,1,0,1,0
"AAK06394.1|CBM3|GH44|GH9",0,0,0,0,0,1,0,0
"AAK11576.1|CBM5|GH18|3.2.1.14",0,0,0,0,0,0,1,0
"AAK22106.1|GT41",0,1,0,0,0,1,1,1
"AAK22740.1|GT4",0,0,0,0,0,0,1,0
"AAK24767.1|GH10",0,0,0,0,0,1,0,0
"AAK53478.1|GT4",1,0,0,0,0,0,0,0
"AAK56291.1|GT60|2.4.1.-",0,1,0,0,0,0,2,0
"AAK62837.1|CBM6|GH86",1,1,1,1,1,3,2,2
"AAK76896.1|GH24",0,1,0,0,0,0,0,0
"AAK77953.1|AA1_3",0,0,0,1,1,0,0,1
"AAK79847.1|GH0",0,0,0,0,1,0,0,0
"AAK81605.1|GH28",0,1,0,0,0,0,0,0
"AAK83192.1|GT2",0,0,0,0,1,0,0,0
"AAL01718.1|AA10",0,0,0,0,0,1,1,0
"AAL17912.1|CBM14",2,2,4,5,4,2,6,4
"AAL26904.1|GH55",0,0,0,0,1,1,0,0
"AAL43573.1|GT1",1,0,0,0,0,0,0,0
"AAL46648.1|CBM5|GH18",0,0,0,0,1,0,1,0
"AAL49222.1|CBM14",0,0,0,0,0,0,1,0
"AAL81357.1|CBM2|GH18|3.2.1.14",0,0,0,1,0,0,0,1
"AAL90891.1|GH33",0,0,0,0,0,0,0,1
"AAL96785.1|GH24",0,0,0,1,0,0,0,0
"AAM05403.1|CBM48|GH13_11",0,0,0,0,1,0,0,0
"AAM07425.1|GT2",1,0,0,1,0,0,0,0
"AAM09345.2|GH22",2,1,2,0,1,0,1,0
"AAM21357.1|CBM14",1,0,1,0,0,2,0,1
"AAM23368.1|GH5_19",1,2,2,3,0,1,0,2
"AAM23530.1|CE9",0,0,0,1,2,0,0,1
"AAM23924.1|GT4",0,0,0,0,1,0,0,1
"AAM23926.1|GT4",0,1,0,0,0,0,0,0
"AAM24122.1|CE4|3.1.1.72",0,0,0,0,0,0,2,0
"AAM24139.1|GH23",0,0,0,0,1,0,0,1
"AAM25264.1|GH23",1,0,0,0,1,2,0,0
"AAM25371.1|CBM50",0,3,0,0,2,1,1,2
"AAM30823.1|GT2",0,0,0,0,0,0,1,0
"AAM30873.1|GT4",1,0,0,0,0,0,1,0
"AAM31906.1|GT66",1,0,0,0,0,0,1,0
"AAM31909.1|GT2|GT4",0,0,0,0,0,0,1,0
"AAM31913.1|GT2",0,0,0,0,0,1,0,1
"AAM33211.1|GT49",0,0,0,0,0,0,1,0
"AAM33693.1|GH47",2,0,0,0,0,0,0,1
"AAM33758.1|GH2",0,0,0,0,0,0,1,1
"AAM35063.1|CE12",0,0,0,1,0,0,0,0
"AAM52060.1|GT0|2.4.2.-",0,1,0,0,1,0,1,0
