"gene","P1","P2","P3","P4","I1","I2","I3","I4"
"1.-.-.-",0,0,1,0,1,0,0,0
"1.1.3.-",0,2,3,2,5,2,4,1
"1.1.3.10",8,16,10,10,15,14,14,17
"1.1.3.13",0,0,0,1,0,0,0,0
"1.1.3.38",0,1,0,1,0,0,0,1
"1.1.3.9",0,0,0,0,0,0,1,0
"1.1.99.18",4,6,5,5,8,6,8,7
"1.10.3.-",0,1,0,1,1,0,1,1
"1.10.3.2",1,3,1,0,1,0,0,1
"2.4.1.-",2,8,2,4,9,1,9,8
"2.4.1.1",0,1,0,0,2,0,0,1
"2.4.1.10",0,0,1,0,0,0,0,1
"2.4.1.109",1,5,2,3,5,3,5,2
"2.4.1.13",1,2,1,1,1,1,1,1
"2.4.1.15",0,0,1,1,2,0,0,2
"2.4.1.19",0,0,0,0,2,0,2,0
"2.4.1.213",0,1,0,2,1,0,2,0
"2.4.1.217",0,1,0,0,0,0,0,0
"2.4.1.255",2,8,5,3,11,5,7,4
"2.4.1.37",0,3,0,0,1,1,0,0
"2.4.1.38",0,1,0,0,0,0,1,0
"2.4.1.5",1,1,0,0,1,0,1,1
"2.4.2.-",0,1,0,0,1,0,1,0
"2.4.2.43",0,0,0,0,0,0,1,0
"2.4.99.-",0,2,0,0,0,0,0,1
"2.4.99.1",27,77,55,47,67,57,63,68
"2.4.99.6",0,0,0,0,0,0,1,0
"3.1.1.-",1,1,0,0,0,0,0,0
"3.1.1.6",0,1,0,1,0,1,0,0
"3.1.1.72",0,0,2,0,0,1,2,0
"3.1.1.73",0,1,0,1,0,0,1,0
"3.2.1.-",3,16,5,9,8,5,15,7
"3.2.1.1",2,7,3,2,2,4,6,6
"3.2.1.11",2,2,2,2,2,2,1,5
"3.2.1.116",0,0,0,0,0,0,1,0
"3.2.1.132",1,0,0,2,1,0,1,1
"3.2.1.133",2,2,1,1,2,3,2,1
"3.2.1.14",7,75,34,39,44,27,60,45
"3.2.1.140",1,0,0,0,0,0,0,0
"3.2.1.150",0,1,0,0,0,0,0,0
"3.2.1.151",0,0,0,0,0,0,0,1
"3.2.1.158",0,8,3,4,14,4,11,5
"3.2.1.164",0,1,0,0,0,0,0,1
