KO_ID	P1	P2	P3	P4	I1	I2	I3	I4
K00001	248	1904	1168	1080	1848	1360	696	168
K00002	9	45	27	24	36	33	9	12
K00003	15	180	108	114	141	135	69	3
K00004	3	36	31	22	41	27	12	5
K00005	0	0	0	0	0	0	0	0
K00006	0	0	0	0	0	0	0	0
K00007	0	4	0	0	0	0	0	0
K00008	9	81	55	50	86	77	23	14
K00009	0	0	0	1	0	0	0	0
K00010	22	222	144	108	182	152	86	10
K00011	10	105	60	25	85	65	10	5
K00012	44	312	208	208	280	236	108	40
K00013	5	49	38	24	50	41	16	1
K00014	2	65	38	42	69	35	23	3
K00015	5	51	37	28	60	48	17	7
K00016	12	80	64	56	60	68	44	0
K00018	9	48	48	12	33	27	24	0
K00019	8	138	68	84	114	80	30	8
K00020	18	196	133	103	143	134	69	11
K00021	2	10	14	6	10	10	6	0
K00022	0	8	0	0	0	8	8	0
K00023	2	80	54	60	62	60	20	8
K00024	48	324	240	276	300	282	102	18
K00025	0	0	0	0	0	0	0	0
K00026	0	0	0	0	0	0	0	0
K00027	24	150	92	68	120	88	44	14
K00028	0	14	4	10	2	2	6	0
K00029	18	116	66	62	98	60	40	4
K00030	8	40	35	27	49	32	12	5
K00031	44	264	200	136	284	236	88	24
K00032	6	28	16	20	36	32	2	8
K00033	14	126	86	80	142	96	44	14
K00034	20	105	78	85	97	83	35	15
K00035	1	3	3	5	1	1	2	0
K00036	22	202	130	140	204	146	86	22
K00037	0	0	0	0	0	0	0	0
K00038	12	42	39	37	42	39	12	5
K00039	0	3	2	2	3	2	1	0
K00040	2	9	5	4	5	6	2	0
K00041	0	1	1	1	1	1	1	0
K00042	9	105	75	61	64	79	37	4
K00043	0	29	10	7	18	20	7	2
K00044	0	2	0	1	1	0	0	0
K00045	2	8	4	3	4	5	1	0
K00048	0	0	0	0	4	4	4	0
K00049	0	0	0	0	0	2	0	0
K00050	6	86	72	40	74	90	42	6
K00051	0	0	0	0	0	0	0	0
K00052	20	124	92	80	126	95	41	21
K00053	8	100	68	70	110	86	30	8
K00054	1	5	8	3	5	5	3	0
K00055	15	60	45	20	50	35	10	0
K00057	10	51	46	38	51	39	11	5
K00058	44	458	308	240	426	294	152	46
K00059	138	1558	972	904	1374	1138	486	110
K00060	5	56	36	32	61	46	24	7
K00061	0	1	1	1	1	1	1	0
K00064	1	20	15	15	20	12	4	2
K00065	7	67	44	41	70	55	24	8
K00066	15	150	132	102	102	87	63	24
K00067	16	138	86	86	102	96	48	10
K00068	1	8	3	3	5	4	1	1
K00070	0	0	0	0	0	0	0	0
K00071	0	0	0	0	0	0	0	0
K00072	0	0	0	0	0	0	0	0
K00073	0	8	7	4	6	6	3	0
K00074	38	348	248	242	342	264	98	40
K00075	20	142	84	90	110	96	52	14
K00077	9	87	67	69	87	70	34	6
K00078	2	2	0	0	0	0	0	0
K00079	0	0	0	0	0	0	0	0
K00080	0	0	0	0	0	0	0	0
K00081	0	0	0	0	0	0	0	0
K00082	0	23	12	9	20	11	8	1
K00083	0	0	0	0	0	0	0	0
K00086	0	15	7	3	12	14	4	0
K00087	14	96	52	61	79	66	32	6
K00088	26	178	104	112	182	112	78	16
K00089	0	0	0	0	0	0	0	0
K00090	3	26	16	19	37	28	4	6
K00091	4	49	30	29	44	38	14	4
K00093	0	0	0	0	0	0	0	0
K00094	0	0	0	0	0	0	0	0
K00097	3	52	35	27	45	37	17	4
K00099	6	44	41	33	59	35	22	9
K00100	0	0	0	0	0	0	0	0
K00101	5	62	52	46	57	40	18	10
K00102	6	100	62	56	88	54	36	7
K00103	0	25	14	4	14	16	4	2
K00104	11	184	125	100	162	108	67	17
K00105	1	12	9	12	12	7	5	2
K00106	0	36	20	32	36	36	20	8
K00108	10	81	54	59	69	53	31	9
K00109	1	18	10	15	22	16	4	3
K00111	6	91	56	55	76	62	24	9
K00112	0	1	0	0	1	0	0	1
K00113	2	19	11	8	12	9	3	0
K00114	45	567	366	246	492	441	189	21
K00115	0	1	1	0	0	1	0	0
K00116	2	16	9	14	17	20	5	3
K00117	9	143	112	65	132	115	62	8
K00119	0	0	0	0	0	0	0	0
K00120	0	0	0	0	0	0	0	0
K00121	54	513	279	207	324	234	162	27
K00122	4	46	20	16	30	30	22	2
K00123	34	328	234	252	300	282	110	50
K00124	26	228	202	182	258	216	88	40
K00125	0	0	0	0	0	0	0	0
K00126	2	10	6	4	6	10	2	0
K00127	14	106	72	78	96	82	26	18
K00128	615	4425	2610	2865	3795	2955	1470	405
K00129	0	42	21	7	28	21	0	0
K00130	9	95	68	70	75	72	31	12
K00131	3	15	15	10	20	15	5	1
K00132	0	25	30	10	25	10	0	0
K00133	27	204	171	138	219	177	87	15
K00134	9	61	42	33	66	37	16	6
K00135	39	267	198	186	222	216	99	12
K00136	0	0	0	0	0	0	0	0
K00137	2	20	14	18	18	14	4	0
K00139	0	0	0	0	0	0	0	0
K00140	24	180	126	93	144	105	60	3
K00141	9	15	6	9	15	3	0	0
K00143	0	0	2	0	2	0	0	0
K00145	10	122	64	60	120	74	22	10
