no	I1	I2	I3	I4	P1	P2	P3	P4
mag_I1	15.3989293802	11.0036926563	10.4191521114	25.8515138669	23.6017031168	13.5992524058	14.4138318316	19.7597762997
mag_I2	9.96493887085	6.32052325384	6.10893969313	28.5513865828	12.5538088846	20.4282270843	40.1789918851	32.2973910965
mag_I3	6.03785240744	4.42363381345	15.0543723502	2.10158550073	7.06330702184	7.73836922925	7.85487801199	2.18209938943
mag_I4	7.78221110168	6.03664651401	9.97158611008	3.75431895678	2.18597679988	2.85505777362	2.53795117384	1.38324675368
mag_I5	10.9076861471	13.8721362726	15.037455823	4.71641913536	4.76548970991	8.77339646094	2.50358540042	1.20803614199
mag_I6	4.96042150045	6.06171470743	4.53960164242	17.7302697228	3.9227981324	3.08912698877	5.14148437768	20.3536206313
mag_I7	5.38404209668	15.1062868668	3.83118536471	4.13832291849	11.9159976286	8.06020882637	9.24617371971	6.09522585337
mag_I8	2.61598847241	18.3514163635	4.45529337789	1.0137804334	0.905605997793	1.34764051834	2.26513827685	0.943468144323
mag_I9	8.36311348432	13.2649930949	27.0338741564	5.32909994649	8.01839755854	12.7764345847	11.4646181135	4.10609900168
mag_I10	18.8950931976	3.82846009275	2.45294608111	5.48454935448	10.0221519093	4.17052670761	5.34566762035	6.19875192471
mag_I11	12.7878430588	2.18614007214	5.03692568791	1.4404350548	1.53872257991	2.23281701705	8.09671217888	1.40860371503
mag_I12	12.5382868269	5.06703840345	4.31282674201	3.82272365566	3.98957088175	1.90836713627	2.11614689665	1.47553194441
mag_I13	3.31539448591	3.05403413168	14.5295945031	3.75220108558	4.84329944549	3.18844955878	3.65952220841	4.70794107545
mag_I14	8.34812527985	5.16946444143	6.20931729573	1.56433116388	3.78156632986	5.06184394651	3.03867020488	0.732835453529
mag_P1	21.9731650435	20.1457837685	6.14221295978	11.0870104517	12.759290852	16.076569838	7.32912249563	7.47336162443
mag_P2	4.33146865263	3.14911236929	3.20835748669	4.30752040018	27.0402064754	3.458079517	5.83361817902	4.90329207443
mag_P3	7.00113879172	8.49156833892	5.89874721454	21.9044356824	4.39714432646	3.51919619526	5.846067042	23.5510403007
mag_P4	7.31086012275	7.02568314653	12.4194169152	8.76325046062	4.74241362053	15.6117329544	8.83459197988	7.4085283504
mag_P5	17.1432928815	17.4132707773	14.5273690747	15.8637759961	19.5996355064	21.4514197317	18.694825586	16.6766827553
mag_P6	0.479252310404	0.477633656159	0.360879930875	0.347279017576	34.1329830855	0.425944528453	0.410015654885	0.349531317358
mag_P7	7.34591197795	6.43285319647	7.41885431097	7.71777810735	13.7114739323	19.8504054503	7.66759278207	7.65963826517
mag_P8	8.05104072614	19.4699233992	5.41650925452	11.8639244561	7.05219733875	18.0117426432	5.70885049531	7.08025376469
mag_P9	2.6903583311	1.9170950431	1.72234580287	1.7783304682	2.87964727102	11.7744705379	3.22127828195	1.78708077573
mag_P10	11.1550051821	5.86301593192	4.75044844404	4.78667646927	39.0277011074	8.78959985922	6.42792592248	7.3927874939
mag_P11	14.9232582938	9.30894121141	7.9541677444	15.6111398917	9.43057450355	8.66288712716	10.2542032674	189.140094812
mag_P12	7.78222296657	5.83725799273	4.24112925503	4.60378581889	41.1411837014	6.90404737542	5.08202637327	6.69013718274
mag_P13	13.2285732974	6.51234945454	6.15843579956	18.835523925	8.46421883989	14.3826715074	69.4646076364	29.6082382494
mag_P14	5.41576547617	9.12113988233	3.16367309135	15.8155924287	8.41992315984	4.31889104341	9.87224274447	28.1969600555
mag_P15	20.719438851	8.34952124709	5.96662147998	13.9821437462	25.2652164577	7.90888955727	7.20809830677	10.8799609547
