mOTU	P1	P2	P3	P4	I1	I2	I3	I4
OTU1	0	0	0	0	0	0	0	0
OTU2	0	0	1	0	0	0	0	0
OTU3	0	0	0	0	0	0	0	0
OTU4	0	0	0	0	0	0	0	0
OTU5	0	0	0	0	0	0	0	0
OTU6	0	0	0	0	0	0	0	0
OTU7	0	0	0	0	0	0	0	0
OTU8	0	0	0	0	0	0	0	0
OTU9	0	0	0	0	0	0	0	0
OTU10	0	0	0	0	0	0	0	0
OTU11	0	0	0	0	0	0	0	0
OTU12	0	0	0	0	0	0	0	0
OTU13	0	0	0	0	0	0	0	0
OTU14	0	0	0	0	0	0	0	0
OTU15	0	0	0	0	0	0	0	0
OTU16	0	0	0	0	0	0	0	0
OTU17	0	0	0	0	0	0	0	0
OTU18	0	0	0	0	0	0	0	0
OTU19	0	0	0	1	0	0	0	0
OTU20	0	0	0	0	0	0	0	0
OTU21	0	0	0	0	0	0	0	0
OTU22	0	0	0	0	0	0	0	0
OTU23	0	0	0	0	0	0	0	0
OTU24	0	0	0	0	0	0	0	0
OTU25	0	0	0	0	0	0	0	0
OTU26	0	0	0	0	0	0	0	0
OTU27	0	0	0	0	0	0	0	0
OTU28	0	0	0	0	0	0	0	0
OTU29	0	0	0	0	0	0	0	0
OTU30	0	0	0	0	0	0	0	0
OTU31	0	0	0	0	0	0	0	0
OTU32	0	0	0	0	0	0	0	0
OTU33	0	0	0	0	0	0	0	0
OTU34	0	0	0	0	0	0	0	0
OTU35	0	0	0	0	0	0	0	0
OTU36	0	0	0	0	0	0	0	0
OTU37	0	0	0	0	0	0	0	0
OTU38	0	0	0	0	0	0	0	0
OTU39	0	0	0	0	0	0	0	0
OTU40	0	0	0	0	0	0	0	0
OTU41	0	0	0	0	0	0	0	0
OTU42	1	0	0	0	0	0	0	0
OTU43	0	0	0	0	0	0	0	0
OTU44	0	0	0	0	0	0	0	0
OTU45	0	0	0	0	0	0	0	0
OTU46	0	1	0	0	1	0	0	0
OTU47	0	0	0	0	0	0	0	0
OTU48	0	0	0	0	0	0	0	0
OTU49	0	0	0	0	0	0	0	0
OTU50	0	0	0	0	0	0	0	0
OTU51	0	0	0	0	0	0	0	0
OTU52	0	0	0	0	0	0	0	0
OTU53	0	0	0	0	0	0	0	0
OTU54	0	0	0	0	0	0	0	0
OTU55	0	0	0	0	0	0	0	0
OTU56	0	0	0	0	0	0	0	0
OTU57	0	0	0	0	0	0	0	0
OTU58	0	0	0	0	0	0	0	0
OTU59	0	0	0	0	0	0	0	0
OTU60	0	0	0	0	0	0	0	0
OTU61	0	0	0	0	0	0	0	0
OTU62	0	0	0	0	0	0	0	0
OTU63	0	0	0	0	0	0	0	0
OTU64	0	0	0	0	0	0	0	0
OTU65	0	0	0	0	0	0	0	0
OTU66	0	0	0	0	0	0	0	0
OTU67	0	0	0	0	0	0	0	0
OTU68	0	0	0	0	0	0	0	0
OTU69	0	0	0	0	0	0	0	0
OTU71	1	2	0	0	0	0	0	0
OTU72	0	0	0	0	0	0	0	0
OTU73	0	0	0	0	0	0	0	0
OTU74	0	0	0	0	0	0	0	0
OTU75	0	0	0	0	0	0	0	0
OTU76	7	0	0	0	0	0	0	0
OTU77	0	0	0	0	0	0	0	0
OTU78	6	0	1	0	2	0	0	2
OTU79	0	0	0	0	0	0	0	0
OTU80	0	0	0	0	0	0	0	0
OTU81	0	0	0	0	0	0	0	0
OTU82	0	0	0	0	0	0	0	0
OTU83	0	0	0	0	0	0	0	0
OTU84	0	0	0	0	0	0	0	0
OTU85	0	0	0	0	0	0	0	0
OTU86	0	0	1	0	0	0	0	0
OTU87	0	0	0	0	0	0	0	0
OTU88	0	0	0	0	0	0	0	0
OTU89	0	0	0	0	0	0	0	0
OTU90	1	0	1	2	0	0	0	0
OTU91	0	0	0	0	0	0	0	0
OTU92	0	0	0	0	0	0	0	0
OTU93	0	0	0	0	0	0	0	0
OTU94	0	0	0	0	0	0	0	0
OTU95	0	0	0	0	0	0	0	0
OTU96	0	5	6	0	4	4	0	0
OTU97	0	0	0	0	0	0	0	0
OTU98	6	5	7	6	9	13	8	2
OTU99	8	2	3	4	5	9	3	3
OTU100	1	1	2	0	0	2	0	0
OTU101	0	0	0	0	0	0	0	0
OTU102	0	0	0	0	0	0	0	0
OTU103	0	0	0	0	0	0	0	1
OTU104	0	0	0	0	0	0	0	0
OTU105	0	0	0	0	0	0	0	0
OTU106	3	2	1	2	1	0	0	0
OTU107	0	0	0	0	0	0	0	0
OTU108	0	0	0	0	0	0	0	0
OTU109	0	0	0	0	0	0	0	0
OTU110	0	0	0	0	0	0	0	0
OTU111	0	0	0	0	0	0	0	0
OTU112	0	0	0	0	0	0	0	0
OTU113	0	0	0	0	0	0	0	0
OTU114	0	0	0	0	0	0	0	0
OTU115	0	0	0	0	0	0	0	0
OTU116	0	0	0	0	0	0	0	0
OTU117	0	0	0	0	0	0	0	0
OTU118	0	0	0	0	0	0	0	0
OTU119	0	0	0	0	0	0	0	0
OTU120	0	0	0	0	0	0	0	0
OTU121	0	0	0	0	0	0	0	0
OTU122	0	0	0	0	0	0	0	0
OTU123	0	0	0	0	0	0	0	0
OTU124	0	0	0	0	0	0	0	0
OTU125	0	0	0	0	0	0	0	0
OTU126	0	0	0	0	0	0	0	0
OTU127	0	0	0	0	0	0	0	0
OTU128	3	4	5	2	4	6	3	5
OTU129	2	3	1	0	1	0	0	0
OTU130	0	0	0	0	0	0	0	0
OTU131	0	0	0	0	0	0	0	0
OTU132	0	0	0	0	0	0	0	0
OTU133	0	0	0	0	0	0	0	0
OTU134	0	0	0	0	0	0	0	0
OTU135	0	0	0	0	0	0	0	0
OTU136	0	0	0	0	0	0	0	0
OTU137	0	0	0	0	0	0	0	0
OTU138	0	0	0	0	0	0	0	0
OTU139	0	0	0	0	0	0	0	0
OTU140	0	0	0	0	0	0	0	0
OTU141	0	0	0	0	0	0	0	0
OTU142	0	0	0	0	0	0	0	0
OTU143	0	0	0	0	0	0	0	0
OTU144	0	0	0	0	0	0	0	0
OTU145	0	0	0	0	0	0	0	0
OTU146	0	0	0	0	0	0	0	0
OTU147	0	0	0	0	0	0	0	0
OTU148	0	0	0	0	0	0	0	0
OTU149	0	0	0	0	0	0	0	0
OTU150	0	0	0	0	0	0	0	0
OTU151	0	0	0	0	0	0	0	0
OTU152	0	0	0	0	0	0	0	0
OTU153	0	0	0	0	0	0	0	0
OTU154	0	0	0	0	0	0	0	0
OTU155	0	0	0	0	0	0	0	0
OTU156	0	0	0	0	0	0	0	0
