gene	variable	value	scale	sqrt	log2	log10	Type
nifD	P1	2	-0.58165893	1.414214	1	0.30103	Post
nifH	P1	2	-0.58165893	1.414214	1	0.30103	Post
nifK	P1	3	-0.51636192	1.732051	1.584963	0.4771213	Post
nosZ	P1	2	-0.58165893	1.414214	1	0.30103	Post
norB	P1	1	-0.64695595	1	0	0	Post
nirS	P1	3	-0.51636192	1.732051	1.584963	0.4771213	Post
nirK	P1	NA	NA	NA	NA	NA	Post
narG	P1	3	-0.51636192	1.732051	1.584963	0.4771213	Post
napA	P1	12	0.07131121	3.464102	3.584963	1.0791812	Post
nasA	P1	5	-0.38576789	2.236068	2.321928	0.69897	Post
hzo	P1	NA	NA	NA	NA	NA	Post
nrfA	P1	1	-0.64695595	1	0	0	Post
ureABC	P1	23	0.78957838	4.795832	4.523562	1.3617278	Post
nifD	P2	NA	NA	NA	NA	NA	Post
nifH	P2	4	-0.4510649	2	2	0.60206	Post
nifK	P2	NA	NA	NA	NA	NA	Post
nosZ	P2	8	-0.18987685	2.828427	3	0.90309	Post
norB	P2	1	-0.64695595	1	0	0	Post
nirS	P2	NA	NA	NA	NA	NA	Post
nirK	P2	1	-0.64695595	1	0	0	Post
narG	P2	3	-0.51636192	1.732051	1.584963	0.4771213	Post
napA	P2	45	2.2261127	6.708204	5.491853	1.6532125	Post
nasA	P2	14	0.20190524	3.741657	3.807355	1.146128	Post
hzo	P2	NA	NA	NA	NA	NA	Post
nrfA	P2	3	-0.51636192	1.732051	1.584963	0.4771213	Post
ureABC	P2	41	1.96492464	6.403124	5.357552	1.6127839	Post
nifD	P3	2	-0.58165893	1.414214	1	0.30103	Post
nifH	P3	1	-0.64695595	1	0	0	Post
nifK	P3	2	-0.58165893	1.414214	1	0.30103	Post
nosZ	P3	7	-0.25517386	2.645751	2.807355	0.845098	Post
norB	P3	3	-0.51636192	1.732051	1.584963	0.4771213	Post
nirS	P3	1	-0.64695595	1	0	0	Post
nirK	P3	1	-0.64695595	1	0	0	Post
narG	P3	2	-0.58165893	1.414214	1	0.30103	Post
napA	P3	38	1.7690336	6.164414	5.247928	1.5797836	Post
nasA	P3	12	0.07131121	3.464102	3.584963	1.0791812	Post
hzo	P3	NA	NA	NA	NA	NA	Post
nrfA	P3	2	-0.58165893	1.414214	1	0.30103	Post
ureABC	P3	27	1.05076643	5.196152	4.754888	1.4313638	Post
nifD	P4	NA	NA	NA	NA	NA	Post
nifH	P4	2	-0.58165893	1.414214	1	0.30103	Post
nifK	P4	NA	NA	NA	NA	NA	Post
nosZ	P4	6	-0.32047087	2.44949	2.584963	0.7781513	Post
norB	P4	NA	NA	NA	NA	NA	Post
nirS	P4	NA	NA	NA	NA	NA	Post
nirK	P4	1	-0.64695595	1	0	0	Post
narG	P4	1	-0.64695595	1	0	0	Post
napA	P4	27	1.05076643	5.196152	4.754888	1.4313638	Post
nasA	P4	7	-0.25517386	2.645751	2.807355	0.845098	Post
hzo	P4	NA	NA	NA	NA	NA	Post
nrfA	P4	1	-0.64695595	1	0	0	Post
ureABC	P4	28	1.11606345	5.291503	4.807355	1.447158	Post
nifD	I1	NA	NA	NA	NA	NA	Pre
nifH	I1	5	-0.38576789	2.236068	2.321928	0.69897	Pre
nifK	I1	NA	NA	NA	NA	NA	Pre
nosZ	I1	8	-0.18987685	2.828427	3	0.90309	Pre
norB	I1	NA	NA	NA	NA	NA	Pre
nirS	I1	NA	NA	NA	NA	NA	Pre
nirK	I1	1	-0.64695595	1	0	0	Pre
narG	I1	2	-0.58165893	1.414214	1	0.30103	Pre
napA	I1	52	2.6831918	7.211103	5.70044	1.7160033	Pre
nasA	I1	9	-0.12457983	3	3.169925	0.9542425	Pre
hzo	I1	NA	NA	NA	NA	NA	Pre
nrfA	I1	3	-0.51636192	1.732051	1.584963	0.4771213	Pre
ureABC	I1	55	2.87908285	7.416198	5.78136	1.7403627	Pre
nifD	I2	NA	NA	NA	NA	NA	Pre
nifH	I2	3	-0.51636192	1.732051	1.584963	0.4771213	Pre
nifK	I2	NA	NA	NA	NA	NA	Pre
nosZ	I2	7	-0.25517386	2.645751	2.807355	0.845098	Pre
norB	I2	NA	NA	NA	NA	NA	Pre
nirS	I2	NA	NA	NA	NA	NA	Pre
